,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
3117069,10:08:22.949000,6,False,False,381,111,21209,1451,cam0
3117203,10:08:29.483000,6,False,False,337,115,107778,1481,cam2
3117357,10:08:37.258000,6,False,False,298,112,21064,1469,cam0
3117367,10:08:37.756000,6,False,False,298,112,21064,1469,cam0
3117394,10:08:39.189000,6,False,False,336,115,107778,1469,cam2
3117413,10:08:40.254000,6,False,False,334,280,128518,863,cam1
3117434,10:08:41.677000,6,False,False,337,114,107778,1463,cam2
3117459,10:08:43.261000,6,False,False,298,109,21064,1463,cam0
3117725,10:08:56.247000,6,False,False,382,117,21223,1443,cam0
3117786,10:08:58.949000,6,False,False,334,279,128518,873,cam1
3117804,10:08:59.677000,6,False,False,391,288,128329,1073,cam1
3117843,10:09:01.682000,6,False,False,337,114,107778,1457,cam2
3117856,10:09:02.256000,6,False,False,334,279,128518,895,cam1
3117863,10:09:02.680000,6,False,False,337,114,107778,1457,cam2
3117906,10:09:04.454000,6,False,False,298,111,21064,1491,cam0
3118234,10:09:19.957000,6,False,False,389,285,128329,1117,cam1
3118309,10:09:23.452000,6,False,False,389,285,128329,1117,cam1
3118320,10:09:24.252000,6,False,False,299,111,21064,1469,cam0
3118373,10:09:26.753000,6,False,False,296,112,21064,1468,cam0
3118393,10:09:27.481000,6,False,False,336,114,107820,1457,cam2
3118498,10:09:32.253000,6,False,False,382,101,21223,1416,cam0
3118515,10:09:33.257000,6,False,False,296,110,21064,1469,cam0
3118589,10:09:36.456000,6,False,False,391,284,128329,1108,cam1
3118611,10:09:37.449000,6,False,False,295,108,21064,1469,cam0
3118663,10:09:40.180000,6,False,False,336,115,107820,1457,cam2
3118670,10:09:40.450000,6,False,False,381,101,21223,1390,cam0
3118767,10:09:45.256000,6,False,False,382,111,21223,1468,cam0
3118797,10:09:46.756000,6,False,False,299,109,21064,1451,cam0
3118846,10:09:49.248000,6,False,False,384,275,128329,1167,cam1
3118893,10:09:51.448000,6,False,False,384,277,128329,1159,cam1
