entry,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
1144518,08:30:44.393000,2,True,False,358,123,12787,1201,cam1
1144544,08:30:46.323000,2,True,False,404,103,12466,1456,cam0
1144566,08:30:48.020000,2,True,False,403,103,12466,1456,cam0
1144588,08:30:49.992000,2,True,False,357,125,12787,1209,cam1
1144605,08:30:51.393000,2,True,False,356,123,12787,1209,cam1
1144652,08:30:55.496000,2,True,False,420,135,12858,1259,cam1
1144686,08:30:58.895000,2,True,False,419,136,12858,1274,cam1
1144741,08:31:03.687000,2,True,False,361,124,12787,1209,cam1
1144746,08:31:04.026000,2,True,False,396,105,12487,1484,cam0
1144880,08:31:13.825000,2,True,False,413,104,12491,1426,cam0
1144916,08:31:16.394000,2,True,False,356,129,12787,1210,cam1
1144925,08:31:16.996000,2,True,False,432,136,12858,1325,cam1
1144929,08:31:17.195000,2,True,False,432,136,12858,1325,cam1
1144937,08:31:17.691000,2,True,False,433,137,12858,1325,cam1
1144942,08:31:18.021000,2,True,False,431,109,12492,1527,cam0
1144948,08:31:18.493000,2,True,False,354,129,12787,1210,cam1
1145008,08:31:22.528000,2,True,False,433,108,12492,1545,cam0
1145013,08:31:22.986000,2,True,False,422,136,12858,1296,cam1
1145015,08:31:23.187000,2,True,False,421,136,12858,1296,cam1
1145055,08:31:26.494000,2,True,False,418,137,12858,1252,cam1
1145061,08:31:26.894000,2,True,False,361,126,12787,1210,cam1
1145065,08:31:27.195000,2,True,False,418,138,12858,1252,cam1
1145089,08:31:28.440000,2,True,False,131,103,21458,1009,cam2
1145091,08:31:28.701000,2,True,False,418,137,12858,1252,cam1
1145120,08:31:30.742000,2,True,False,138,106,21463,1057,cam2
1145134,08:31:31.698000,2,True,False,334,295,12834,1022,cam1
1145253,08:31:36.735000,2,True,False,135,127,21453,898,cam2
1145474,08:31:48.438000,2,True,False,426,127,21488,971,cam2
1145511,08:31:50.394000,2,True,False,358,127,12787,1210,cam1
1145600,08:31:54.709000,2,True,False,422,135,12858,1289,cam1
1145627,08:31:55.937000,2,True,False,411,97,21488,835,cam2
1145629,08:31:56.193000,2,True,False,423,135,12858,1289,cam1
1145655,08:31:57.738000,2,True,False,439,107,21502,1504,cam2
1145661,08:31:57.940000,2,True,False,417,108,21478,1028,cam2
1145698,08:31:59.737000,2,True,False,419,107,21478,999,cam2
1145724,08:32:00.940000,2,True,False,425,127,21488,991,cam2
1145766,08:32:03,2,True,False,422,135,12858,1266,cam1
1145786,08:32:03.896000,2,True,False,356,129,12787,1210,cam1
1145900,08:32:08.444000,2,True,False,438,110,21502,1532,cam2
1145960,08:32:11.437000,2,True,False,416,109,21478,1048,cam2
1145964,08:32:11.735000,2,True,False,135,128,21535,898,cam2
1146017,08:32:13.944000,2,True,False,135,127,21535,898,cam2
1146021,08:32:13.944000,2,True,False,436,108,21536,1504,cam2
1146044,08:32:15.239000,2,True,False,409,115,21478,1197,cam2
1146062,08:32:16.276000,2,True,False,136,106,21547,1057,cam2
1146131,08:32:20.192000,2,True,False,424,133,12858,1289,cam1
1146322,08:32:31.942000,2,True,False,412,113,21478,1138,cam2
1146424,08:32:40.493000,2,True,False,431,136,12858,1325,cam1
1146436,08:32:41.443000,2,True,False,412,113,21478,1138,cam2
1146471,08:32:44.192000,2,True,False,359,129,12787,1178,cam1
1146474,08:32:44.238000,2,True,False,142,95,21590,1077,cam2
